STATION_NAME;NAT_ABBR;LATITUDE;LONGITUDE;XCOORD;YCOORD;ELEVATION
Aadorf / Tänikon;TAE;47.48;8.9049;710515;259821;539
Aarberg;ABE;47.037;7.2814;588051;209518;493
Adelboden;ABO;46.492;7.5604;609350;149001;1326.74
Affeltrangen;AFT;47.531;9.0199;719070;265660;479
Affoltern i. E.;AIE;47.063;7.7406;622940;212500;755
Aigle;AIG;46.327;6.9244;560401;130713;381.02
Airolo;AIR;46.526;8.5974;688910;153400;1139
Allenwinden, TG;ALW;47.387;8.9458;713800;249550;865
Alpthal;APT;47.06;8.7136;696860;212930;1015
Altdorf;ALT;46.887;8.6218;690174;193558;438
Altmatt;ALM;47.131;8.6963;695420;220770;920
Altstätten, SG;ALS;47.383;9.5565;759910;250202;430
Alvaneu Dorf;ALV;46.677;9.6499;769168;171945;1170
Amriswil;AMW;47.55;9.3225;741796;268304;420
Andeer;AND;46.61;9.4319;752687;164036;987.1
Andelfingen;AFI;47.602;8.6861;693810;273070;382
Andermatt;ANT;46.631;8.5805;687444;165044;1438
Appenzell;APP;47.34;9.3973;748012;245040;750
Arbon;ARB;47.502;9.4364;750506;263115;401
Arisdorf;ARI;47.507;7.7746;625310;261860;480
Arosa;ARO;46.793;9.679;771030;184826;1878
Avenches;AVE;46.881;7.0368;569367;192283;446
Avers / Am Bach;AVB;46.453;9.5472;761985;146785;2000
Bad Ragaz;RAG;47.017;9.5026;756910;209351;496
Balsthal;BAT;47.32;7.7166;621017;241091;523
Barmelweid;BAW;47.422;7.9711;640180;252446;770
Basel / Binningen;BAS;47.541;7.5836;610911;265601;316.17
Baulmes;BAU;46.79;6.5225;530050;182450;642
Bauma;BAM;47.365;8.9056;710805;247005;667
Bauma;ZHBAM;47.374;8.8654;707750;248010;621
Bellelay;BEY;47.265;7.1691;579603;234880;923
Bellinzona;BLZ;46.19;9.0049;720913;116588;224
Belp;BEP;46.906;7.5053;605082;195001;510
Benken / Doggen;DOB;47.189;8.9612;715387;227540;408
Bergün / Latsch;LAT;46.627;9.7537;777273;166619;1407.85
Bern / Zollikofen;BER;46.991;7.464;601930;204410;552.84
Beromünster;BMU;47.207;8.1936;657200;228760;642
Bex;BEX;46.244;6.9953;565806;121511;402
Beznau;BZN;47.558;8.2355;659975;267750;327
Biasca;BIA;46.336;8.9784;718550;132800;278
Biel/Bienne;BIL;47.12;7.2576;586260;218840;433
Binn;BIN;46.368;8.1923;657996;135422;1479
Birmensdorf;ZHBID;47.355;8.4401;675660;245430;466
Bischofszell;BIZ;47.497;9.2347;735325;262285;470
Bisisthal;BIS;46.947;8.828;705770;200450;785
Bivio;BIV;46.463;9.6686;771282;148120;1856
Bière;BIE;46.525;6.3424;515889;153207;683.64
Blumenstein;BLU;46.744;7.5206;606260;177010;655
Boltigen;BOT;46.63;7.3874;596077;164296;892
Bosco/Gurin;BOS;46.317;8.4887;680879;130027;1486
Boudevilliers;BOV;47.023;6.8874;558095;208130;750
Bourg-St-Pierre;BSP;45.946;7.2085;582155;88270;1664
Braggio;BRA;46.296;9.1256;729975;128600;1315
Braunau;BNU;47.522;9.0734;723115;264787;592
Braunwald;BRW;46.937;8.9876;717942;199651;1299
Brienz;BRZ;46.741;8.0609;647552;176803;567.15
Brig;BRI;46.312;7.9653;640567;129069;665
Brissago;BSG;46.12;8.709;698200;108390;280
Bristen;BRT;46.768;8.6984;696223;180373;784
Broc;BRO;46.61;7.108;574670;162100;680
Brusio;BRP;46.264;10.1172;806477;127184;856
Bruzella;BZL;45.883;9.037;724090;82490;620
Brülisau;BLS;47.297;9.4583;752743;240475;933
Buch, SH;BUC;47.717;8.7839;700944;286039;414
Buchs / Aarau;BUS;47.384;8.0794;648389;248365;386.66
Buffalora;BUF;46.648;10.2672;816494;170225;1968
Bullet / La Frétaz;FRE;46.841;6.5763;534221;188081;1205.43
Burgdorf;BUD;47.057;7.5987;612163;211782;534
Bözberg;UBB;47.482;8.1318;652249;259223;536
Bülach;BUE;47.52;8.5275;682010;263780;402
Camedo;CMD;46.155;8.6075;690296;112207;590
Campocologno;CAC;46.232;10.1438;808650;123700;535
Cavaglia;CAV;46.368;10.0362;799850;138470;1706
Cevio;CEV;46.32;8.6032;689688;130565;417
Chanéaz;CNZ;46.729;6.7427;546800;175580;758
Chasseral;CHA;47.132;7.0544;570847;220158;1599
Chaumont;CHM;47.049;6.9788;565060;211006;1136
Chavornay;CHY;46.702;6.548;531887;172741;439
Chevrier;GECHE;46.22;6.2228;506185;119470;429.7
Chur;CHU;46.87;9.5305;759466;193153;556
Château-d'Oex;CHD;46.48;7.1397;577040;147655;1029
Chéserex;CHX;46.398;6.1722;502600;139350;532
Cimetta;CIM;46.2;8.7916;704433;117452;1661
Col des Mosses;CDM;46.392;7.0982;573818;137852;1412
Col du Grand St-Bernard;GSB;45.869;7.1708;579200;79720;2472
Coldrerio;COL;45.854;8.9974;721080;79235;347
Combe-Garot;COG;46.962;6.7977;551220;201450;532
Cossonay;COS;46.61;6.4931;527563;162465;590
Courtelary;COY;47.181;7.0907;573623;225597;695
Courtepin;COP;46.86;7.1276;576280;189930;565
Couvet;COU;46.934;6.6587;540607;198345;728
